stdDay,Susceptible,Alpha_Infected,Alpha_Recovered,Alpha_Dead,Alpha_alpha,Alpha_beta,Alpha_gamma,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma
2021-07-31,1437509,9.120000000000005,320.75,1.8399999999999999,0.04616152334570278,0.15131578947368363,0.0,212.23,147.85,0.19,0.05091405260689871,0.06394006502379491,0.0
2021-08-01,1437495,8.160000000000025,322.13,1.8399999999999999,0.020882797273497698,0.05147058823529591,0.0,209.44000000000003,161.42,0.19,0.07729347042788133,0.051470588235294115,0.0
2021-08-02,1437478,7.910000000000025,322.55,1.8399999999999999,0.022810303694743968,0.09481668773704142,0.0,214.81,172.2,0.19,0.07979518044511619,0.08961407755691075,0.0
2021-08-03,1437460,7.340000000000032,323.3,1.8399999999999999,0.021850652325698078,0.09400544959127993,0.0,212.66000000000003,191.45,0.19,0.07164704160025079,0.08327847267939437,0.0
2021-08-04,1437444,6.810000000000002,323.99,1.8399999999999999,0.025023446638994848,0.04845814977974168,0.0,210.15,209.16,0.19,0.0770350644924945,0.04030454437306685,0.0
2021-08-05,1437427,6.649999999999977,324.32000000000005,1.8399999999999999,0.021103614488358714,0.0406015037593959,0.0,217.82999999999998,217.63,0.19,0.0612046479044235,0.031813799752100295,0.0
2021-08-06,1437413,6.519999999999982,324.59000000000003,1.8399999999999999,0.02767448792494332,0.0414110429447826,0.0,224.2,224.56,0.19,0.07645663613162286,0.030909901873327417,0.0
2021-08-07,1437395,6.430000000000007,324.86,1.8399999999999999,0.0498883485962328,0.06065318818040217,0.0,234.37,231.49,0.19,0.13002644425484844,0.04271024448521565,0.0
2021-08-08,1437363,6.360000000000014,325.25,1.8399999999999999,0.02994789326752653,0.08490566037736152,0.0,254.76,241.5,0.19,0.07102573839001243,0.05440414507772015,0.0
2021-08-09,1437344,6.009999999999991,325.79,1.8399999999999999,0.025020288854462124,0.11480865224625604,0.0,258.95000000000005,255.35999999999999,0.19,0.05516637930664269,0.06839158138636804,0.0
2021-08-10,1437329,5.470000000000027,326.48,1.8399999999999999,0.03665411463752733,0.14808043875685525,0.0,255.49,273.07,0.19,0.07455207903006446,0.0813730478688012,0.0
2021-08-11,1437309,4.860000000000014,327.29,1.8399999999999999,0.04125530801964166,0.24074074074074334,0.0,253.7,293.86,0.19,0.07507913170149233,0.11836815135987376,0.0
2021-08-12,1437289,3.8899999999999864,328.46000000000004,1.8399999999999999,0.038657503912844504,0.1928020565552706,0.0,242.67000000000002,323.89,0.19,0.058869578320318285,0.0793258334363539,0.0
2021-08-13,1437274,3.2899999999999636,329.21000000000004,1.8399999999999999,0.05180237920254473,0.20060790273555484,0.0,237.67000000000002,343.14,0.19,0.0681231691831328,0.07127529768165942,0.0
2021-08-14,1437257,2.8000000000000114,329.87,1.8399999999999999,0.10383452646255985,0.15000000000000507,0.0,236.88,360.08,0.19,0.11659905453833602,0.045508274231678615,0.0
2021-08-15,1437228,2.670000000000016,330.29,1.8399999999999999,0.0,0.0,0.0,253.64999999999992,370.86,0.19,0.0,0.0,0.0
