incDec,stdDay,delta_variants,omicron_variants
401.0,2022-12-26,0.0,396.99
545.0,2022-12-27,0.0,539.55
995.0,2022-12-28,0.0,985.05
749.0,2022-12-29,0.0,741.51
606.0,2022-12-30,0.0,599.9399999999999
690.0,2022-12-31,0.0,683.1
588.0,2023-01-01,0.0,582.12
481.0,2023-01-02,0.0,476.19
603.0,2023-01-03,0.0,596.97
1033.0,2023-01-04,0.0,1022.67
814.0,2023-01-05,0.0,805.86
640.0,2023-01-06,0.0,633.6
730.0,2023-01-07,0.0,722.7
529.0,2023-01-08,0.0,523.71
359.0,2023-01-09,0.0,355.41
488.0,2023-01-10,0.0,483.12
668.0,2023-01-11,0.0,661.32
540.0,2023-01-12,0.0,534.6
504.0,2023-01-13,0.0,498.96
522.0,2023-01-14,0.0,516.78
451.0,2023-01-15,0.0,446.49
264.0,2023-01-16,0.0,261.36
296.0,2023-01-17,0.0,293.04
475.0,2023-01-18,0.0,470.25
397.0,2023-01-19,0.0,393.03
340.0,2023-01-20,0.0,336.6
384.0,2023-01-21,0.0,380.15999999999997
341.0,2023-01-22,0.0,337.59
209.0,2023-01-23,0.0,206.91
156.0,2023-01-24,0.0,154.44
263.0,2023-01-25,0.0,260.37
291.0,2023-01-26,0.0,288.09
512.0,2023-01-27,0.0,506.88
401.0,2023-01-28,0.0,396.99
297.0,2023-01-29,0.0,294.03
218.0,2023-01-30,0.0,215.82
186.0,2023-01-31,0.0,184.14
386.0,2023-02-01,0.0,382.14
251.0,2023-02-02,0.0,248.49
249.0,2023-02-03,0.0,246.51
205.0,2023-02-04,0.0,202.95
256.0,2023-02-05,0.0,253.44
154.0,2023-02-06,0.0,152.46
148.0,2023-02-07,0.0,146.52
352.0,2023-02-08,0.0,348.48
267.0,2023-02-09,0.0,264.33
209.0,2023-02-10,0.0,206.91
224.0,2023-02-11,0.0,221.76
223.0,2023-02-12,0.0,220.77
139.0,2023-02-13,0.0,137.60999999999999
133.0,2023-02-14,0.0,131.67
281.0,2023-02-15,0.0,278.19
183.0,2023-02-16,0.0,181.17
216.0,2023-02-17,0.0,213.84
159.0,2023-02-18,0.0,157.41
151.0,2023-02-19,0.0,149.49
137.0,2023-02-20,0.0,135.63
121.0,2023-02-21,0.0,119.78999999999999
270.0,2023-02-22,0.0,267.3
163.0,2023-02-23,0.0,161.37
173.0,2023-02-24,0.0,171.27
206.0,2023-02-25,0.0,203.94
179.0,2023-02-26,0.0,177.21
115.0,2023-02-27,0.0,113.85
126.0,2023-02-28,0.0,124.74
257.0,2023-03-01,0.0,254.43
165.0,2023-03-02,0.0,163.35
159.0,2023-03-03,0.0,157.41
234.0,2023-03-04,0.0,231.66
179.0,2023-03-05,0.0,177.21
0.0,2023-03-06,0.0,0.0
298.0,2023-03-07,0.0,295.02
290.0,2023-03-08,0.0,287.1
243.0,2023-03-09,0.0,240.57
216.0,2023-03-10,0.0,213.84
202.0,2023-03-11,0.0,199.98
222.0,2023-03-12,0.0,219.78
132.0,2023-03-13,0.0,130.68
